url,mission90_restored,http_status,robots,canonical,in_sitemap,lastmod,google_status,click_depth,internal_links,linking_silo,internal_link_strength,correction_needed,correction_applied,gsc_manual_action,notes
"https://www.assuromieuxparis.com/ressources/","oui","200","index, follow","auto-référent","oui","absent","INDEXÉE","1 clic","40","Accueil; pages business; footer; Ressources","FORT","non","non","aucune","Hub prioritaire déjà indexé; ne pas resoumettre."
"https://www.assuromieuxparis.com/ressources/guides/","oui","200","index, follow","auto-référent","oui","absent","DÉCOUVERTE / NON INDEXÉE","2 clics","7","Ressources; catégories; politique éditoriale","SUFFISANT","non","non","demander une indexation une fois","Techniquement conforme; aucun crawl indiqué lors de Mission 93."
"https://www.assuromieuxparis.com/ressources/assurance-entreprise/","oui","200","index, follow","auto-référent","oui","absent","EXPLORÉE / NON INDEXÉE","2 clics","12","Ressources; guides Assurance entreprise; catégories","SUFFISANT","non","non","demander une indexation une fois","Explorée le 20/08; indexation autorisée; attendre ensuite la décision Google."
"https://www.assuromieuxparis.com/ressources/transport-logistique/","oui","200","index, follow","auto-référent","oui","absent","INDEXÉE","2 clics","8","Ressources; guides Transport; méthode Audit Transport","SUFFISANT","non","non","aucune","Hub prioritaire déjà indexé."
"https://www.assuromieuxparis.com/ressources/btp/","oui","200","index, follow","auto-référent","oui","absent","INCONNUE","2 clics","8","Ressources; BTP/Décennale; guide Décennale","SUFFISANT","non","non","aucune pour l'instant","Statut GSC individuel non obtenu; ne pas inventer ni sur-solliciter."
"https://www.assuromieuxparis.com/ressources/dirigeants/","oui","200","index, follow","auto-référent","oui","absent","INCONNUE","2 clics","7","Ressources; Santé/Prévoyance; catégories","SUFFISANT","non","non","aucune pour l'instant","Statut GSC individuel non obtenu."
"https://www.assuromieuxparis.com/lexique/","oui","200","index, follow","auto-référent","oui","absent","INDEXÉE","2 clics","7","Ressources; Protection dirigeant; catégories","SUFFISANT","non","non","aucune","Hub prioritaire déjà indexé."
"https://www.assuromieuxparis.com/votre-besoin/","oui","200","index, follow","auto-référent","oui","absent","INDEXÉE","1 clic","40","Accueil; pages business; footer; Ressources","FORT","non","non","aucune","Hub prioritaire déjà indexé."
"https://www.assuromieuxparis.com/votre-besoin/auditer-mes-assurances/","oui","200","index, follow","auto-référent","oui","absent","INCONNUE","2 clics","6","Hub Votre besoin; parcours associés","SUFFISANT","non","non","aucune pour l'instant","Statut GSC individuel non obtenu."
"https://www.assuromieuxparis.com/votre-besoin/comparer-mes-assurances/","oui","200","index, follow","auto-référent","oui","absent","INCONNUE","2 clics","3","Hub Votre besoin; parcours Audit et Évolution","SUFFISANT","non","non","aucune pour l'instant","Statut GSC individuel non obtenu."
"https://www.assuromieuxparis.com/votre-besoin/assurer-activite-transport/","oui","200","index, follow","auto-référent","oui","absent","INCONNUE","2 clics","6","Hub Votre besoin; Transport; secteurs Transport","SUFFISANT","non","non","aucune pour l'instant","Lien direct depuis la page Transport et les trois verticales."
"https://www.assuromieuxparis.com/votre-besoin/assurer-flotte-vehicules/","oui","200","index, follow","auto-référent","oui","absent","INCONNUE","2 clics","3","Hub Votre besoin; Flotte automobile; parcours Transport","SUFFISANT","non","non","aucune pour l'instant","Lien direct depuis la page Flotte."
"https://www.assuromieuxparis.com/votre-besoin/creer-reprendre-entreprise/","oui","200","index, follow","auto-référent","oui","absent","INCONNUE","2 clics","2","Hub Votre besoin; parcours Entreprise évolue","SUFFISANT","non","non","aucune pour l'instant","Deux liens logiques suffisent pour cette intention spécialisée."
"https://www.assuromieuxparis.com/votre-besoin/entreprise-evolue/","oui","200","index, follow","auto-référent","oui","absent","INCONNUE","2 clics","5","Hub Votre besoin; parcours associés","SUFFISANT","non","non","demander une nouvelle exploration une fois","Dernière inspection connue du 26/07 reflétait l'ancien noindex; aucune donnée post-correction disponible."
